,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
59,0,0,245,95.33,13,63.2,74,27,8.22,101.37,1,331,19,17.42,7.01,14.95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,1219,7,1447,82.59,42,43.0,376,65,25.07,123.28,12,537,15,35.8,8.2,26.33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,3763,0,4511,89.62,0,0.0,1233,158,28.02,123.42,48,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
62,107,9,0,0.0,0,0.0,123,33,30.75,125.51,4,244,10,24.4,8.41,17.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,641,563,115,48.72,381,34.0,4,4,4.0,80.0,0,357,12,29.75,6.61,27.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64,2173,0,2763,75.1,0,0.0,117,47,16.71,144.44,6,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
65,392,43,5,27.77,19,40.1,186,31,10.94,102.2,3,1530,74,20.68,7.11,17.46,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
66,120,9,51,92.72,3,60.0,32,11,8.0,133.33,1,435,6,72.5,9.89,44.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
67,141,106,34,34.0,46,42.1,3,3,1.5,50.0,0,296,8,37.0,9.25,24.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
68,58,1,782,100.25,50,41.4,781,71,24.41,146.25,45,1899,69,27.52,8.25,20.01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,555,139,117,75.97,94,28.5,60,16,10.0,111.11,2,884,38,23.26,7.37,18.95,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
70,1261,800,674,77.56,534,35.2,20,6,3.33,66.67,0,1395,57,24.47,6.49,22.63,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
71,0,0,1,50.0,1,42.0,4,3,4.0,30.77,0,627,24,26.13,7.17,21.92,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
72,0,0,0,0.0,0,0.0,563,35,19.41,123.19,19,263,7,37.57,8.74,25.86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,77,44,141,57.31,157,36.6,38,22,19.0,82.61,1,1192,48,24.83,7.57,19.73,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
74,0,0,0,0.0,1,54.0,9,9,9.0,90.0,0,40,1,40.0,10.0,24.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,699,390,199,66.77,266,32.6,11,11,11.0,61.11,0,242,7,34.57,6.91,30.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
76,0,0,1,14.28,0,0.0,960,94,22.33,117.94,50,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
77,70,62,41,43.61,20,41.7,10,3,1.0,30.3,0,1548,69,22.43,7.16,18.8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
78,1780,60,2377,87.16,168,39.7,106,41,13.25,98.15,5,327,9,36.33,9.26,23.67,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,0,0,3,100.0,0,0.0,7,4,3.5,58.33,0,468,11,42.55,9.36,27.27,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,60,35,74,66.07,86,36.6,39,23,7.8,235.49,0,1504,70,21.49,7.39,17.47,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
81,683,0,736,76.5,0,0.0,912,57,20.27,107.29,13,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
82,1105,100,1468,78.96,165,34.0,929,60,23.82,128.31,34,1975,66,29.92,7.74,23.23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,0,0,810,113.6,33,45.1,1488,100,25.66,149.25,81,1139,36,31.64,7.2,26.36,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,6654,5,4184,86.76,7,57.1,634,103,42.27,141.2,30,215,7,30.71,7.41,24.86,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
85,3781,421,3519,86.69,393,39.9,147,33,18.37,132.43,8,301,11,27.36,6.54,25.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
